# file: 12CO_LB_regrid_LSRK_spw0.ms
# From plot 0
# x y chan scan field ant1 ant2 ant1name ant2name time freq spw poln obs
# U V None None None None None None None MJD(seconds) GHz None None None
-213.281 261.695 0 7 0 0 1 DA41@A083 DA42@A047 5208536043.696 345.778362496 0 XX 0
139.161 112.97 1 7 0 0 2 DA41@A083 DA43@A091 5208536043.696 345.779339181 0 YY 0
321.707 1257.26 2 7 0 0 3 DA41@A083 DA44@A120 5208536043.696 345.780315866 0 XX 0
931.438 -410.04 3 7 0 0 4 DA41@A083 DA46@A122 5208536043.696 345.781292551 0 YY 0
-168.872 124.936 4 7 0 0 5 DA41@A083 DA47@A022 5208536043.696 345.782269236 0 XX 0
-420.994 202.194 5 7 0 0 6 DA41@A083 DA48@A082 5208536043.696 345.783245921 0 YY 0
-153.139 90.6926 6 7 0 0 7 DA41@A083 DA49@A066 5208536043.696 345.784222606 0 XX 0
-166.302 549.443 7 7 0 0 8 DA41@A083 DA50@A089 5208536043.696 345.785199290 0 YY 0
-322.394 -55.2133 8 7 0 0 10 DA41@A083 DA53@A085 5208536043.696 345.786175975 0 XX 0
-130.064 -4.22407 9 7 0 0 11 DA41@A083 DA54@A075 5208536043.696 345.787152660 0 YY 0
-182.054 740.595 10 7 0 0 12 DA41@A083 DA55@A134 5208536043.696 345.788129345 0 XX 0
-163.46 302.11 11 7 0 0 13 DA41@A083 DA56@A062 5208536043.696 345.789106030 0 YY 0
30.4939 500.244 12 7 0 0 14 DA41@A083 DA57@A094 5208536043.696 345.790082715 0 XX 0
-122.456 380.441 13 7 0 0 15 DA41@A083 DA58@A076 5208536043.696 345.791059400 0 YY 0
-180.658 -224.305 14 7 0 0 16 DA41@A083 DA59@A093 5208536043.696 345.792036084 0 XX 0
-83.534 272.188 15 7 0 0 17 DA41@A083 DA62@A069 5208536043.696 345.793012769 0 YY 0
-203.273 1117.42 16 7 0 0 18 DA41@A083 DA63@A115 5208536043.696 345.793989454 0 XX 0
-523.932 980.889 17 7 0 0 19 DA41@A083 DA64@A110 5208536043.696 345.794966139 0 YY 0
